TicketID,Form,Method,Issue,City,State,Zip
1374777,Internet,DSL,Speed,Barry,TX,75102
1374780,TV,Cable,Billing,Kittanning,PA,16021
1374781,Phone,Wireless (cell phone/other mobile device),Availability (including rural call completion),Taos,NM,87571
1374782,Internet,Cable,Speed,Jacksonville,AR,72076
1374783,Internet,Cable,Billing,American Canyon,CA,94503
1374785,Internet,Wireless,Open Internet/Net Neutrality,Boardman,OH,44512
1374786,Internet,Cable,Equipment,Lombard,IL,60148
1374788,Phone,Wireless (cell phone/other mobile device),Billing,Saint Cloud,FL,34772
1374790,Internet,Cable,Open Internet/Net Neutrality,Hillsboro,OR,97123
1374792,Phone,Wireless (cell phone/other mobile device),Privacy,Albuquerque,NM,87113
1374794,TV,Satellite,Billing,Nevada City,CA,95959
1374797,Internet,Wireless,Availability,Topock,AZ,86436
1374801,Phone,Wireless (cell phone/other mobile device),Privacy,Brea,CA,92821
1374804,Internet,Satellite,Interference,Deer Park,WA,99006
1374806,Internet,Cable,Speed,Laingsburg,MI,48848
1374809,TV,Satellite,Billing,San Juan Capistrano,CA,92675
1374811,Radio,Amateur Radio,Interference,New Port Richey,FL,34652
1374813,Internet,Cable,Open Internet/Net Neutrality,Valparaiso,IN,46385
1374814,Internet,Cable,Speed,Tampa,FL,33606
1374815,Phone,Wireless (cell phone/other mobile device),Billing,Apache Junction,AZ,85120
1374816,Phone,Wireless (cell phone/other mobile device),Billing,Minneapolis,MN,55407
1374818,TV,Satellite,Indecency,Boerne,TX,78006
1374821,Internet,DSL,Billing,Atlanta,GA,30311
1374822,TV,Broadcast,Open Internet/Net Neutrality,Glendale,MO,63122
1374823,Internet,Wireless,Interference,Humble,TX,77338
1374824,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Wake Village,TX,75501
1374826,Internet,Cable,Open Internet/Net Neutrality,Manteca,CA,95337
1374828,Internet,Cable,Open Internet/Net Neutrality,Everett,WA,98204
1374831,Internet,Cable,Billing,Mobile,AL,36695
1374834,TV,Fiber,Availability,Camas,WA,98607
1374835,Internet,Wireless,Billing,Post,TX,79356
1374839,Phone,Wireless (cell phone/other mobile device),Billing,Charlotte,NC,28215
1374843,Internet,Cable,Billing,Spring Grove,IL,60081
1374845,Internet,Cable,Speed,Sierra Madre,CA,91024
1374846,Phone,Wireless (cell phone/other mobile device),Billing,Delmar,MD,21875
1374850,Internet,Cable,Billing,Miami,FL,33147
1374852,Phone,Wired,Unwanted Calls,Campbellsville,KY,42718
1374853,TV,Satellite,Billing,Bethlehem,PA,18017
1374857,Phone,Wired,Unwanted Calls,Dunstable,MA,1827
1374870,Internet,Cable,Equipment,Boulder,CO,80301
1374872,Internet,Cable,Billing,Brooklyn,NY,11232
1374875,Phone,Wireless (cell phone/other mobile device),Availability (including rural call completion),Pojoaque,NM,87501
1374876,Phone,Wireless (cell phone/other mobile device),Billing,Slidell,LA,70458
1374883,Internet,DSL,Billing,Eddyville,KY,42038
1374885,TV,Cable,Indecency,Marina Del Rey,CA,90292
1374886,Phone,Wired,Billing,San Fernando,CA,91340
1374890,Internet,Cable,Billing,Belvidere,IL,61008
1374892,TV,Cable,Availability,Orlando,FL,32839
1374897,TV,Satellite,Indecency,Dallas,GA,30132
1374902,Phone,Wireless (cell phone/other mobile device),Privacy,Murieta,CA,92562
1374904,Internet,Cable,Open Internet/Net Neutrality,Kent,WA,98032
1374909,Internet,DSL,Privacy,Castrovillle,CA,95012
1374911,Phone,Wireless (cell phone/other mobile device),Billing,Evanston,IL,60201
1374913,TV,Satellite,Availability,Auburn,CA,95603
1374917,Internet,Cable,Open Internet/Net Neutrality,Bellevue,WA,98004
1374919,Phone,Wireless (cell phone/other mobile device),Billing,Atlanta,GA,30318
1374921,Phone,Wireless (cell phone/other mobile device),Availability (including rural call completion),Muncie,IN,47304
1374923,Internet,Cable,Open Internet/Net Neutrality,West Palm Beach,FL,33409
1374927,TV,Satellite,Availability,Cocoa,FL,32927
1374929,TV,Cable,Equipment,Lutz,FL,33549
1374930,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Columbia,SC,29211
1374932,TV,Cable,Availability,Baltimore,MD,21209
1374934,TV,Satellite,Indecency,Monticello,KY,42633
1374935,TV,Satellite,Availability,Cartersville,GA,30121
1374937,Phone,Wireless (cell phone/other mobile device),Privacy,Tampa,FL,33618
1374938,TV,Satellite,Availability,New Castle,PA,16101
1374942,Internet,Wireless,Availability,Taylorsville,KY,40071
1374944,TV,Satellite,Availability,Canton,GA,30115
1374947,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Brooklyn,NY,11217
1374948,TV,Satellite,Availability,Allyn,WA,98524
1374951,Phone,Wired,Privacy,Coweta,OK,74429
